"","sample_id","Heidi","Fritzy","ThorA","Cami","Urza","Charlie","Vito","location","ReadsRaw","ReadsFiltered","ReadsLengthfiltered","FamilyKmers","KmerCoverage","KmerDupRate","ExtractLVL","ReadsExtracted","Order","Family","Species","Reference","ReadsMapped","ProportionMapped","ReadsDeduped","DuplicationRate","CoveredBP","ReadsBedfiltered","PostBedCoveredBP","FamPercentage","Ancientness","ReadsDeam(1term)","ReadsDeam(3term)","Deam5(95ci)","Deam3(95ci)","Deam5Cond(95ci)","Deam3Cond(95ci)"
"24","sample_37",0,0.000829187396351575,0.987378640776699,0.00154130702836005,0,0.000293513354857646,0.000635727908455181,"Dog Office (Lily/ThorA)",416001,383066,365910,17140,0.1354,493,"f",106200,"Carnivora","Canidae","Canis_lupus_familiaris","fixed",97353,0.9166,15552,6.2598,16726,NA,NA,82.96,NA,29,95,"0.7 (0.4,1.1)","0.2 (0.1,0.3)","N/A (N/A,N/A)","0.0 (0.0,60.2)"
"25","sample_38",0,0,0.964285714285714,0,0,0,0,"Dog Office (Lily/ThorA)",39152,29170,23127,7332,0.05793,17.1,"f",1586,"Carnivora","Canidae","Canis_lupus_familiaris","fixed",1495,0.9426,531,2.8154,12900,NA,NA,34.57,NA,1,3,"0.9 (0.0,5.0)","0.0 (0.0,3.1)","N/A (N/A,N/A)","N/A (N/A,N/A)"
"26","sample_4",0.396739130434783,0.128205128205128,0,0.00137551581843191,0.0969387755102041,0,0.340659340659341,"Dog Office (Container)",209039,179449,178888,12463,0.09848,277,"f",38380,"Carnivora","Canidae","Canis_lupus_familiaris","fixed",37376,0.9738,1710,21.8573,16621,NA,NA,70.83,NA,6,17,"0.6 (0.1,2.1)","1.1 (0.3,2.7)","0.0 (0.0,84.2)","N/A (N/A,N/A)"
"27","sample_40",0,0.00263620386643234,0.97327281896117,0.000159744408945687,0.000598086124401914,0.000588754783632617,0.000630517023959647,"Dog Office (Lily/ThorA)",510618,474308,452322,19220,0.1519,787,"f",177514,"Carnivora","Canidae","Canis_lupus_familiaris","fixed",166371,0.9372,14826,11.2215,16725,NA,NA,93.85,NA,33,102,"0.7 (0.5,1.1)","0.3 (0.1,0.5)","0.0 (0.0,84.2)","0.0 (0.0,52.2)"
"28","sample_41",0.00141442715700141,0,0.95729537366548,0.000553556601162469,0,0.00026281208935611,0.00115340253748558,"Dog Office (Lily/ThorA)",324781,277791,261501,15884,0.1255,537,"f",92402,"Carnivora","Canidae","Canis_lupus_familiaris","fixed",87984,0.9521,7882,11.1626,16727,NA,NA,86.51,NA,25,80,"1.0 (0.6,1.6)","0.5 (0.2,0.9)","0.0 (0.0,70.8)","0.0 (0.0,84.2)"
"29","sample_42",0,0.0026525198938992,0.986111111111111,0.000420698359276399,0,0.000386548125241593,0.00154083204930663,"Dog Office (Lily/ThorA)",167699,141505,129718,13363,0.1056,206,"f",30820,"Carnivora","Canidae","Canis_lupus_familiaris","fixed",29190,0.9471,5432,5.3737,16714,NA,NA,61.92,NA,6,26,"0.3 (0.1,0.9)","0.2 (0.0,0.5)","N/A (N/A,N/A)","0.0 (0.0,70.8)"
"30","sample_44",0,0,0.986607142857143,0.000955109837631328,0,0.00229357798165138,0.00423728813559322,"Dog Office (Lily/ThorA)",390613,362034,361110,14974,0.1183,561,"f",105649,"Carnivora","Canidae","Canis_lupus_familiaris","fixed",97709,0.9248,2175,44.9236,16709,NA,NA,78.01,NA,13,30,"2.3 (1.2,4.1)","0.4 (0.0,1.3)","0.0 (0.0,97.5)","0.0 (0.0,70.8)"
"31","sample_47",0,0,0.965753424657534,0.0153508771929825,0,0,0,"Hallway (Lily/ThorA)",282191,266267,265555,11693,0.09239,323,"f",44482,"Carnivora","Canidae","Canis_lupus_familiaris","fixed",42871,0.9637,966,44.3799,15780,NA,NA,42.16,NA,4,14,"0.0 (0.0,1.9)","1.7 (0.5,4.3)","N/A (N/A,N/A)","N/A (N/A,N/A)"
"32","sample_49",0,0,0.931034482758621,0.0210526315789474,0,0,0,"Hallway (Lily/ThorA)",216303,199767,199455,6729,0.05317,65.7,"f",4933,"Carnivora","Canidae","Canis_lupus_familiaris","fixed",4696,0.9519,210,22.3619,11434,NA,NA,6.33,NA,1,2,"2.1 (0.1,11.3)","0.0 (0.0,5.4)","N/A (N/A,N/A)","N/A (N/A,N/A)"
"33","sample_5",0.51980198019802,0.069620253164557,0,0.000563380281690141,0.025974025974026,0,0.381609195402299,"Dog Office (Container)",124259,102715,101811,11259,0.08896,274,"f",42973,"Carnivora","Canidae","Canis_lupus_familiaris","fixed",42016,0.9777,3807,11.0365,16082,NA,NA,94.53,NA,9,32,"0.5 (0.1,1.3)","0.5 (0.2,1.3)","N/A (N/A,N/A)","N/A (N/A,N/A)"
"34","sample_57",0,NA,1,0,0,0,0,"Dog Office (Anda/Charlie)",196146,172697,171233,6500,0.05136,262,"f",27900,"Carnivora","Canidae","Canis_lupus_familiaris","fixed",21678,0.7769,199,108.9346,10153,NA,NA,54.97,NA,0,7,"0.0 (0.0,5.3)","0.0 (0.0,8.0)","N/A (N/A,N/A)","N/A (N/A,N/A)"
"35","sample_59",0,0.0714285714285714,0.807692307692308,0.0117647058823529,0,0.0727272727272727,0,"Dog Office (Anda/Charlie)",321798,294296,293047,7136,0.05638,49.7,"f",4643,"Carnivora","Canidae","Canis_lupus_familiaris","fixed",3638,0.7835,211,17.2417,12194,NA,NA,5.43,NA,0,1,"0.0 (0.0,9.3)","0.0 (0.0,7.0)","N/A (N/A,N/A)","N/A (N/A,N/A)"
"36","sample_6",0.411971830985915,0.385650224215247,0.0056980056980057,0.00534283170080142,0.00326797385620915,0,0.126353790613718,"Dog Office (Container)",233560,207214,206534,12837,0.1014,261,"f",38333,"Carnivora","Canidae","Canis_lupus_familiaris","fixed",37208,0.9706,2566,14.5003,16711,NA,NA,61.02,NA,6,17,"1.1 (0.4,2.3)","0.0 (0.0,0.6)","N/A (N/A,N/A)","0.0 (0.0,84.2)"
"37","sample_61",NA,NA,1,0.0333333333333333,NA,0,NA,"Hallway (Anda/Charlie)",428549,413459,412616,4495,0.03552,283,"f",14876,"Carnivora","Canidae","Canis_lupus_familiaris","fixed",14319,0.9625,76,188.4078,7052,NA,NA,8.35,NA,0,0,"0.0 (0.0,26.5)","0.0 (0.0,21.8)","N/A (N/A,N/A)","N/A (N/A,N/A)"
"38","sample_67",NA,0.2,0.625,0.111111111111111,NA,0,0,"Elevator",352046,327981,327509,5575,0.04405,6.15,"f",442,"Carnivora","Canidae","Canis_lupus_familiaris","fixed",377,0.8529,130,2.9,9571,NA,NA,0.2,NA,0,0,"0.0 (0.0,11.2)","0.0 (0.0,11.9)","N/A (N/A,N/A)","N/A (N/A,N/A)"
"39","sample_69",0.025,0.0384615384615385,0.7,0.0223880597014925,0.025,0,0.027027027027027,"Elevator",294599,268392,267715,8868,0.07007,14,"f",1603,"Carnivora","Canidae","Canis_lupus_familiaris","fixed",1444,0.9008,326,4.4294,14791,NA,NA,1.26,NA,1,4,"1.4 (0.0,7.6)","0.0 (0.0,4.7)","N/A (N/A,N/A)","N/A (N/A,N/A)"
"40","sample_7",NA,NA,NA,0,NA,0,NA,"Dog Office (Container)",108649,88750,88240,4509,0.03563,89.8,"f",4823,"Carnivora","Canidae","Canis_lupus_familiaris","fixed",4453,0.9232,72,61.8472,8194,NA,NA,24.16,NA,0,0,"0.0 (0.0,26.5)","0.0 (0.0,26.5)","N/A (N/A,N/A)","N/A (N/A,N/A)"
"41","sample_72",0,0.111111111111111,0.666666666666667,0.0731707317073171,0,0.0786516853932584,0,"Main Entrance",255134,230293,229264,7770,0.06139,3.75,"f",442,"Carnivora","Canidae","Canis_lupus_familiaris","fixed",336,0.7601,197,1.7055,13141,NA,NA,0.78,NA,0,1,"0.0 (0.0,8.2)","0.0 (0.0,8.0)","N/A (N/A,N/A)","N/A (N/A,N/A)"
"42","sample_73",0,0,0.576923076923077,0.194805194805195,0,0.038961038961039,0.1875,"Main Entrance",290527,248325,247717,7267,0.05742,9.09,"f",788,"Carnivora","Canidae","Canis_lupus_familiaris","fixed",703,0.8921,173,4.0635,12194,NA,NA,0.97,NA,0,0,"0.0 (0.0,8.6)","0.0 (0.0,8.6)","N/A (N/A,N/A)","N/A (N/A,N/A)"
"43","sample_75",0,0,0.0574712643678161,0.952727272727273,0,0.00344827586206897,0,"Non-Dog Office",371214,315480,313426,10342,0.08172,55.7,"f",7387,"Carnivora","Canidae","Canis_lupus_familiaris","fixed",6785,0.9185,644,10.5357,15810,NA,NA,8.9,NA,3,10,"1.4 (0.2,4.9)","0.7 (0.0,3.9)","0.0 (0.0,97.5)","N/A (N/A,N/A)"
"44","sample_77",0,0.0175438596491228,0.04,0.894339622641509,0,0.0315789473684211,0,"Non-Dog Office",339201,305018,304280,9729,0.07687,29.2,"f",3394,"Carnivora","Canidae","Canis_lupus_familiaris","fixed",3171,0.9342,668,4.747,15821,NA,NA,3.04,NA,3,5,"2.6 (0.5,7.4)","0.0 (0.0,2.0)","N/A (N/A,N/A)","N/A (N/A,N/A)"
"45","sample_79",NA,NA,0.285714285714286,0.06,0.0714285714285714,0.222222222222222,0,"Non-Dog Office",274630,221201,219909,5386,0.04256,9.08,"f",582,"Carnivora","Canidae","Canis_lupus_familiaris","fixed",452,0.7766,100,4.52,9213,NA,NA,0.7,NA,0,0,"0.0 (0.0,13.2)","0.0 (0.0,13.2)","N/A (N/A,N/A)","N/A (N/A,N/A)"
"46","sample_8",0.286751361161524,0.0296803652968037,0.00140056022408964,0.000848176420695505,0.326951399116348,0.00117554858934169,0.370883882149047,"Dog Office (Container)",180412,159381,158936,12994,0.1027,251,"f",38340,"Carnivora","Canidae","Canis_lupus_familiaris","fixed",36900,0.9624,5279,6.9899,16721,NA,NA,90.67,NA,10,35,"0.5 (0.2,1.1)","0.5 (0.2,1.1)","33.3 (0.8,90.6)","33.3 (0.8,90.6)"
"47","sample_81",0,NA,0.05,0.0540540540540541,0,0.0277777777777778,0,"Non-Dog Office",332502,271293,269758,5861,0.04631,3.79,"f",330,"Carnivora","Canidae","Canis_lupus_familiaris","fixed",237,0.7181,100,2.37,10344,NA,NA,0.2,NA,0,1,"0.0 (0.0,14.2)","0.0 (0.0,16.8)","N/A (N/A,N/A)","N/A (N/A,N/A)"
"48","sample_9",0.459731543624161,0.121495327102804,0,0.000827129859387924,0.0766871165644172,0.00328677074774034,0.227848101265823,"Dog Office (Container)",242539,217977,217046,12140,0.09592,270,"f",43644,"Carnivora","Canidae","Canis_lupus_familiaris","fixed",42246,0.9679,2688,15.7165,16539,NA,NA,64.07,NA,7,26,"0.9 (0.3,2.1)","0.3 (0.0,1.1)","N/A (N/A,N/A)","0.0 (0.0,70.8)"
